,SourceFile,FileName,ImageWidth,ImageHeight,CreateDate,PictureDirectory,R,G,B,Pct,Timestamp,Hours,Date,Day,Month
39,20190420/IMAG0040.JPG,IMAG0040.JPG,3648,2736,2019:03:27 12:18:49,C:/Users/branc/Desktop/New folder (3)/Snow,0.797492285,0.827464369,0.822941645,0.2929,3/27/2019 12:18,12,3/27/2019,27,3
40,20190420/IMAG0041.JPG,IMAG0041.JPG,3648,2736,2019:03:27 12:19:05,C:/Users/branc/Desktop/New folder (3)/Snow,0.813063656,0.831401169,0.81836223,0.30145,3/27/2019 12:19,12,3/27/2019,27,3
41,20190420/IMAG0042.JPG,IMAG0042.JPG,3648,2736,2019:03:27 12:19:17,C:/Users/branc/Desktop/New folder (3)/Snow,0.803699212,0.843981538,0.855668755,0.291,3/27/2019 12:19,12,3/27/2019,27,3
42,20190420/IMAG0043.JPG,IMAG0043.JPG,3648,2736,2019:03:27 12:19:33,C:/Users/branc/Desktop/New folder (3)/Snow,0.798814134,0.833248253,0.828168413,0.29845,3/27/2019 12:19,12,3/27/2019,27,3
43,20190420/IMAG0044.JPG,IMAG0044.JPG,3648,2736,2019:03:27 12:19:44,C:/Users/branc/Desktop/New folder (3)/Snow,0.819161944,0.852906427,0.842363813,0.28495,3/27/2019 12:19,12,3/27/2019,27,3
44,20190420/IMAG0045.JPG,IMAG0045.JPG,3648,2736,2019:03:27 12:19:56,C:/Users/branc/Desktop/New folder (3)/Snow,0.817160248,0.845716878,0.840598933,0.2896,3/27/2019 12:19,12,3/27/2019,27,3
45,20190420/IMAG0046.JPG,IMAG0046.JPG,3648,2736,2019:03:27 12:20:21,C:/Users/branc/Desktop/New folder (3)/Snow,0.80659329,0.836085445,0.830527629,0.29635,3/27/2019 12:20,12,3/27/2019,27,3
46,20190420/IMAG0047.JPG,IMAG0047.JPG,3648,2736,2019:03:27 12:20:34,C:/Users/branc/Desktop/New folder (3)/Snow,0.818716042,0.841325913,0.832813578,0.28275,3/27/2019 12:20,12,3/27/2019,27,3
47,20190420/IMAG0048.JPG,IMAG0048.JPG,3648,2736,2019:03:27 12:20:47,C:/Users/branc/Desktop/New folder (3)/Snow,0.808267727,0.834859435,0.835033039,0.2914,3/27/2019 12:20,12,3/27/2019,27,3
48,20190420/IMAG0049.JPG,IMAG0049.JPG,3648,2736,2019:03:27 12:20:58,C:/Users/branc/Desktop/New folder (3)/Snow,0.788309433,0.827962182,0.818265585,0.2777,3/27/2019 12:20,12,3/27/2019,27,3
49,20190420/IMAG0050.JPG,IMAG0050.JPG,3648,2736,2019:03:27 12:21:11,C:/Users/branc/Desktop/New folder (3)/Snow,0.812884666,0.842131409,0.841492506,0.28695,3/27/2019 12:21,12,3/27/2019,27,3
50,20190420/IMAG0051.JPG,IMAG0051.JPG,3648,2736,2019:03:27 12:21:23,C:/Users/branc/Desktop/New folder (3)/Snow,0.772843934,0.809332324,0.799573569,0.2952,3/27/2019 12:21,12,3/27/2019,27,3
