TIMESTAMP_1,TIMESTAMP_2,TIMESTAMP_3,TIMESTAMP_4,Ta_1_1_1,Pa_1_1_1,CO2Sig_1_1_1,H2OSig_1_1_1,RawDist_1_1_1,QualNR_1_1_1,TempCorDist_1_1_1,SnowDepth_1_1_1
yyyy,ddd,HH,MM,C,kPa,arb,arb,NA,NA,NA,NA
2018,343,18,00,-9.16212,73.43995,0.9041328,0.817033,2.802,192.8333,2.754605,0.4453951
2018,343,18,30,-9.563034,73.43295,0.9042534,0.8172162,2.8045,188.6667,2.75497,0.4450304
2018,343,19,00,-10.45792,73.45083,0.9043794,0.8174477,2.809667,190.3333,2.755353,0.4446468
2018,343,19,30,-10.94269,73.45222,0.9043291,0.8174846,2.811833,190,2.754934,0.4450662
2018,343,20,00,-11.1665,73.43464,0.9043323,0.817488,2.813,189.1667,2.754901,0.4450988
2018,343,20,30,-10.85634,73.42646,0.9043432,0.8174329,2.8095,189.1667,2.753102,0.4468979
2018,343,21,00,-11.02292,73.42951,0.9043881,0.8174385,2.809833,177.5,2.752554,0.4474457
2018,343,21,30,-11.00985,73.41878,0.9044195,0.8175125,2.810333,184,2.753113,0.4468876
2018,343,22,00,-10.86128,73.43418,0.9044133,0.8174506,2.811666,177.3333,2.755198,0.4448013
2018,343,22,30,-11.21735,73.43097,0.9045054,0.8176403,2.810666,173.8333,2.752349,0.4476515
2018,343,23,00,-10.76261,73.42553,0.9045696,0.8176624,2.810833,174.5,2.7549,0.4450998
2018,343,23,30,-10.61533,73.40271,0.9045829,0.8176596,2.809,179.1667,2.753876,0.4461237
2018,344,00,00,-10.21365,73.37409,0.9044966,0.8175319,2.8085,176.5,2.755492,0.4445081
2018,344,00,30,-10.00592,73.3532,0.9045547,0.8175547,2.805,181.6667,2.753144,0.446856
2018,344,01,00,-10.09029,73.34162,0.9045873,0.8175871,2.806,187.6667,2.753684,0.4463155
2018,344,01,30,-9.760518,73.32676,0.9045468,0.8175318,2.805166,184.8333,2.754592,0.4454082
2018,344,02,00,-9.822835,73.32865,0.9044611,0.8174117,2.806167,186,2.755247,0.4447525
2018,344,02,30,-10.16532,73.31864,0.9043155,0.817237,2.806666,187.6667,2.753946,0.4460539
2018,344,03,00,-10.05852,73.30507,0.9043031,0.8172126,2.807333,189,2.755159,0.4448405
2018,344,03,30,-9.77478,73.26637,0.9043119,0.8172367,2.8045,189.5,2.753862,0.4461379
2018,344,04,00,-9.747233,73.2472,0.9044068,0.8173237,2.804833,190.1667,2.754333,0.4456663
2018,344,04,30,-9.611084,73.22254,0.9044051,0.8173237,2.805333,190.5,2.755537,0.4444633
2018,344,05,00,-9.587565,73.21282,0.9043912,0.8173077,2.804,189.1667,2.75435,0.44565
2018,344,05,30,-9.571945,73.21889,0.9043892,0.8172912,2.8055,189.1667,2.755904,0.4440953
2018,344,06,00,-9.809276,73.20412,0.9044697,0.8174066,2.806,189,2.755155,0.4448454
